# Created by Octave 3.0.1, Wed Nov 11 13:42:47 2009 EST <matthewbot@Matt>
# name: samples
# type: global matrix
# rows: 5902
# columns: 3
 -0.013776 0.00426 -1.014361
 0.000726 -0.00292 -0.997607
 0.007977 -0.000527 -0.990426
 0.022479 0.001867 -1.00718
 0.007977 0.001867 -1.014361
 -0.006525 -0.00292 -0.997607
 0.000726 0.006654 -0.995213
 0.000726 0.009046999999999999 -1.011967
 -0.006525 -0.000527 -1.009574
 -0.006525 -0.00292 -0.9880330000000001
 0.022479 -0.005314 -1.002393
 -0.006525 0.00426 -1.004787
 0.007977 0.00426 -1.004787
 -0.006525 -0.00292 -1.00718
 0.015228 -0.012494 -0.997607
 0.022479 -0.00292 -1.016754
 0.007977 0.00426 -1.004787
 -0.013776 -0.00292 -0.995213
 0.007977 -0.005314 -0.99282
 0.007977 0.001867 -1.014361
 0.000726 0.00426 -1.009574
 -0.006525 -0.007707 -0.990426
 0.007977 0.001867 -0.99282
 -0.006525 -0.000527 -1.004787
 -0.006525 -0.00292 -1.00718
 0.015228 -0.010101 -0.995213
 0.022479 -0.005314 -0.995213
 0.000726 0.001867 -1.009574
 0.007977 -0.005314 -1.009574
 -0.013776 0.00426 -0.997607
 0.007977 -0.005314 -0.9880330000000001
 0.007977 0.001867 -1.011967
 0.000726 -0.000527 -1.014361
 -0.013776 -0.000527 -0.9880330000000001
 0.007977 0.00426 -0.9880330000000001
 0.007977 -0.000527 -1.00718
 -0.021027 0.001867 -1.009574
 -0.006525 -0.007707 -0.995213
 0.000726 -0.007707 -0.99282
 0.000726 -0.007707 -0.99282
 0.015228 0.00426 -1.016754
 0.007977 0.001867 -1.009574
 -0.021027 -0.005314 -0.995213
 0.007977 0.001867 -0.9880330000000001
 0.007977 -0.000527 -1.002393
 0.007977 -0.00292 -1.011967
 0.000726 -0.007707 -1.004787
 0.015228 -0.005314 -0.99282
 -0.006525 0.009046999999999999 -1.016754
 0.007977 0.001867 -1.011967
 0.000726 -0.010101 -0.995213
 0.036981 -0.007707 -0.99282
 0.000726 -0.005314 -1.00718
 0.000726 -0.000527 -1.00718
 0.000726 -0.00292 -0.990426
 0.000726 -0.000527 -0.995213
 0.022479 -0.000527 -1.016754
 -0.013776 -0.00292 -1.014361
 0.000726 -0.010101 -0.995213
 0.015228 -0.000527 -0.99282
 0.015228 -0.000527 -1.009574
 -0.006525 -0.000527 -1.00718
 0.000726 -0.000527 -1.004787
 0.022479 0.001867 -0.997607
 0.015228 0.009046999999999999 -1.002393
 0.007977 0.001867 -1.004787
 0.000726 -0.00292 -1.002393
 0.015228 0.001867 -0.995213
 0.007977 0.00426 -1.016754
 0.000726 -0.000527 -1.009574
 0.015228 -0.00292 -0.9880330000000001
 0.015228 -0.005314 -0.985639
 0.000726 0.001867 -1.004787
 0.007977 0.00426 -1.016754
 0.007977 -0.000527 -0.997607
 0.015228 0.001867 -0.995213
 0.022479 -0.000527 -1.002393
 0.000726 -0.000527 -1.011967
 -0.006525 0.001867 -0.9880330000000001
 0.015228 -0.005314 -0.985639
 0.007977 -0.000527 -1.014361
 0.000726 -0.00292 -1.004787
 -0.006525 -0.00292 -0.997607
 0.015228 -0.000527 -1
 0.015228 0.001867 -1.00718
 0.000726 0.00426 -1.00718
 -0.006525 -0.010101 -1
 0.015228 -0.005314 -1
 0.022479 0.00426 -1.009574
 0.007977 0.00426 -1.016754
 0.015228 -0.005314 -0.99282
 0.015228 -0.000527 -0.995213
 0.022479 -0.000527 -1.009574
 0.015228 -0.000527 -1.014361
 0.007977 0.001867 -0.997607
 0.022479 0.00426 -0.990426
 0.007977 0.001867 -1.004787
 0.007977 0.01144 -1.011967
 -0.006525 -0.000527 -0.995213
 0.022479 -0.007707 -0.995213
 0.007977 -0.007707 -1.004787
 -0.006525 -0.00292 -1.016754
 -0.021027 -0.005314 -0.9880330000000001
 0.007977 -0.005314 -0.995213
 0.015228 -0.005314 -1.004787
 0.007977 -0.000527 -1.00718
 0.007977 0.00426 -1
 0.022479 0.00426 -0.997607
 -0.006525 0.009046999999999999 -1.016754
 0.007977 -0.000527 -1.00718
 -0.006525 -0.00292 -0.985639
 -0.006525 -0.00292 -0.985639
 0.007977 -0.00292 -0.997607
 0.007977 -0.000527 -1.011967
 0.000726 0.001867 -1.004787
 -0.006525 -0.00292 -0.995213
 0.015228 0.01144 -0.995213
 0.015228 -0.000527 -1.014361
 0.015228 -0.00292 -1.009574
 -0.028278 -0.00292 -1
 0.015228 0.001867 -0.99282
 0.007977 -0.000527 -1.00718
 0.000726 0.001867 -1.019148
 0.000726 -0.000527 -0.997607
 0.015228 -0.005314 -0.9880330000000001
 0.02973 -0.005314 -1.002393
 0.007977 0.001867 -1.009574
 0.000726 -0.005314 -0.990426
 -0.013776 -0.000527 -0.983246
 0.015228 0.001867 -1.00718
 0.007977 -0.000527 -1.019148
 0.007977 -0.007707 -0.997607
 0.022479 0.00426 -0.983246
 0.007977 0.009046999999999999 -1.009574
 0.000726 0.00426 -1.019148
 0.015228 -0.007707 -1
 0.007977 -0.00292 -0.99282
 0.015228 -0.000527 -1.009574
 0.007977 -0.00292 -1.00718
 0.000726 0.006654 -0.990426
 0.007977 0.001867 -0.997607
 0.022479 0.001867 -1.004787
 0.007977 0.006654 -1.014361
 0.015228 0.001867 -0.99282
 0.007977 -0.00292 -0.99282
 0.000726 -0.000527 -1.004787
 0.007977 0.016227 -1.011967
 -0.006525 -0.00292 -0.990426
 0.015228 -0.00292 -0.99282
 0.007977 -0.000527 -1.002393
 0.02973 0.00426 -1
 0.000726 0.001867 -1
 0.007977 -0.000527 -0.995213
 0.007977 -0.000527 -1.00718
 0.015228 -0.00292 -1.00718
 -0.006525 0.001867 -0.995213
 0.022479 -0.005314 -0.9880330000000001
 0.000726 0.001867 -1.00718
 0.015228 0.00426 -1.014361
 0.022479 -0.00292 -0.997607
 0.007977 -0.00292 -0.9880330000000001
 0.015228 0.006654 -1.004787
 0.007977 0.006654 -1.014361
 -0.021027 0.00426 -1.002393
 0.000726 -0.00292 -0.985639
 0.015228 0.006654 -1.00718
 0.000726 0.00426 -1.026328
 0.015228 -0.000527 -0.997607
 0.000726 -0.000527 -0.997607
 -0.006525 0.001867 -1
 0.015228 0.013834 -1.014361
 0.000726 0.001867 -1.016754
 0.000726 -0.000527 -0.995213
 0.022479 -0.00292 -0.995213
 0.015228 0.006654 -1.014361
 -0.013776 0.006654 -1.009574
 0.015228 -0.000527 -0.9880330000000001
 0.000726 0.006654 -1.009574
 0.015228 0.001867 -1.019148
 -0.006525 -0.000527 -1.002393
 0.015228 -0.005314 -0.990426
 0.007977 -0.000527 -1.002393
 0.000726 0.006654 -1.009574
 0.000726 0.006654 -1.009574
 0.000726 -0.000527 -1.014361
 0.007977 -0.00292 -1.004787
 0.015228 0.001867 -1.009574
 0.015228 -0.000527 -1.011967
 0.015228 -0.007707 -0.997607
 0.007977 -0.000527 -0.9880330000000001
 0.007977 -0.000527 -1
 0.007977 0.00426 -1.019148
 0.007977 -0.00292 -0.995213
 0.007977 -0.00292 -0.985639
 0.000726 -0.000527 -0.995213
 -0.013776 0.00426 -1.011967
 0.022479 -0.00292 -1.011967
 0.007977 0.001867 -0.997607
 0.015228 -0.007707 -0.997607
 0.022479 0.001867 -1.016754
 0.000726 0.001867 -1.004787
 0.007977 -0.00292 -0.99282
 0.007977 -0.00292 -1.002393
 0.022479 0.001867 -1.009574
 0.007977 -0.000527 -1
 0.007977 -0.005314 -0.995213
 0.022479 0.001867 -1.009574
 -0.006525 0.001867 -1.009574
 0.015228 -0.00292 -1.014361
 0.022479 -0.00292 -0.997607
 0.007977 -0.00292 -0.99282
 0.022479 -0.000527 -1.004787
 0.000726 0.001867 -1.011967
 0.007977 -0.007707 -0.9880330000000001
 0.000726 -0.007707 -0.997607
 0.015228 -0.000527 -1.021541
 0.000726 -0.005314 -1.004787
 0.022479 -0.005314 -0.995213
 0.000726 0.001867 -1.002393
 0.000726 0.00426 -1.016754
 0.007977 -0.00292 -1.009574
 0.015228 -0.00292 -0.99282
 0.02973 0.001867 -0.995213
 0.000726 0.00426 -1.014361
 -0.013776 0.006654 -1.004787
 0.000726 -0.000527 -0.9880330000000001
 0.007977 -0.000527 -1.004787
 0.036981 -0.000527 -1.019148
 -0.006525 -0.00292 -1.009574
 0.000726 0.001867 -0.990426
 0.015228 -0.000527 -0.99282
 0.015228 0.001867 -1.009574
 0.007977 0.001867 -1.011967
 0.015228 -0.007707 -0.990426
 0.015228 -0.000527 -0.995213
 0.022479 -0.000527 -1.00718
 0.000726 0.001867 -1.00718
 0.000726 -0.00292 -0.99282
 0.022479 -0.000527 -1
 0.015228 -0.000527 -1.021541
 0.007977 -0.005314 -1
 0.015228 -0.007707 -0.99282
 0.007977 -0.000527 -1
 0.015228 0.006654 -1.023934
 0.015228 -0.000527 -1.00718
 0.022479 -0.005314 -0.995213
 0.015228 -0.000527 -1.00718
 0.015228 0.00426 -1.016754
 -0.006525 0.00426 -1.009574
 0.007977 -0.005314 -0.990426
 0.022479 -0.00292 -0.995213
 0.022479 -0.000527 -1.016754
 -0.013776 0.001867 -1.00718
 0.02973 -0.005314 -0.99282
 0.022479 -0.005314 -0.99282
 0.022479 -0.005314 -0.99282
 0.015228 -0.000527 -1.011967
 0.022479 0.006654 -1.016754
 0.000726 0.001867 -0.997607
 0.02973 0.001867 -0.99282
 0.015228 0.001867 -1.009574
 -0.006525 0.00426 -1.004787
 -0.006525 -0.000527 -0.99282
 0.015228 0.001867 -0.997607
 0.007977 0.00426 -1.00718
 -0.013776 0.00426 -1.011967
 0.022479 -0.005314 -0.990426
 0.015228 -0.000527 -0.985639
 0.022479 -0.00292 -1.011967
 0.007977 -0.000527 -1.002393
 0.015228 -0.005314 -0.997607
 0.022479 -0.005314 -0.990426
 -0.006525 -0.000527 -1.019148
 0.000726 0.00426 -1.009574
 0.015228 -0.007707 -0.985639
 0.02973 -0.005314 -0.990426
 0.02973 -0.00292 -1.00718
 -0.006525 0.00426 -1.00718
 0.015228 -0.010101 -0.99282
 0.022479 -0.000527 -0.99282
 0.022479 -0.000527 -1.016754
 0.000726 0.001867 -1.009574
 0.022479 -0.00292 -0.997607
 0.022479 -0.00292 -0.990426
 0.015228 0.009046999999999999 -1.002393
 0.000726 -0.000527 -0.997607
 0.007977 -0.005314 -0.985639
 0.02973 -0.005314 -0.997607
 0.007977 0.006654 -1.016754
 0.007977 -0.00292 -1.004787
 0.022479 -0.007707 -0.997607
 0.000726 -0.000527 -0.990426
 0.007977 0.00426 -1.014361
 0.015228 -0.005314 -1.009574
 0.015228 -0.000527 -0.995213
 0.015228 0.001867 -0.995213
 0.015228 0.00426 -1.023934
 0.000726 0.001867 -1.009574
 0.007977 -0.000527 -0.985639
 0.000726 -0.007707 -0.990426
 0.015228 -0.000527 -1.009574
 0.015228 -0.00292 -1.016754
 0.007977 -0.000527 -0.995213
 0.000726 0.001867 -1.002393
 0.022479 0.001867 -1.019148
 0.007977 -0.00292 -1.014361
 0.007977 0.001867 -1.004787
 0.015228 0.006654 -1.004787
 0.015228 0.013834 -1.019148
 -0.013776 0.006654 -1.004787
 0.007977 -0.005314 -0.995213
 0.022479 -0.005314 -0.997607
 0.022479 0.001867 -1.009574
 0.000726 -0.007707 -1
 0.015228 0.00426 -0.990426
 0.007977 -0.00292 -0.995213
 0.007977 0.006654 -1.016754
 0.007977 -0.000527 -1.019148
 0.007977 -0.00292 -1.00718
 0.015228 -0.00292 -0.997607
 0.015228 -0.000527 -1.011967
 -0.006525 0.00426 -1.00718
 0.000726 -0.010101 -0.985639
 0.022479 -0.00292 -0.995213
 0.022479 -0.000527 -1.016754
 -0.006525 -0.00292 -1.002393
 0.02973 -0.005314 -0.99282
 0.02973 -0.005314 -0.99282
 0.000726 0.001867 -0.997607
 0.02973 0.001867 -1.014361
 -0.013776 0.006654 -1.016754
 0.000726 -0.005314 -0.99282
 0.015228 0.009046999999999999 -0.99282
 0.022479 0.006654 -1.014361
 -0.006525 0.006654 -1.011967
 0.000726 0.001867 -0.99282
 0.022479 -0.00292 -1.002393
 0.015228 -0.00292 -1.019148
 0.000726 -0.005314 -1.00718
 0.015228 -0.007707 -0.99282
 0.000726 -0.00292 -1.002393
 0.015228 0.00426 -1.00718
 0.022479 -0.00292 -1.011967
 0.007977 -0.000527 -0.99282
 0.007977 -0.00292 -0.997607
 0.015228 -0.000527 -1.004787
 0.007977 -0.00292 -1.009574
 0.007977 -0.005314 -0.997607
 0.022479 -0.005314 -0.997607
 0.007977 0.00426 -1.014361
 0.000726 -0.00292 -1.014361
 0.007977 -0.010101 -0.990426
 0.015228 -0.00292 -0.99282
 0.015228 0.001867 -1.011967
 0.007977 -0.00292 -1.004787
 0.007977 -0.00292 -0.995213
 0.015228 -0.005314 -0.990426
 0.015228 -0.00292 -1.016754
 0.007977 0.001867 -1.011967
 0.007977 0.00426 -0.995213
 0.015228 -0.000527 -1.002393
 0.007977 0.00426 -1.019148
 0.007977 -0.005314 -1.002393
 0.015228 0.00426 -0.985639
 0.022479 -0.000527 -0.99282
 0.007977 -0.000527 -1.009574
 0.007977 -0.000527 -1.004787
 0.007977 -0.007707 -0.9880330000000001
 0.015228 -0.000527 -1.002393
 0.015228 0.00426 -1.009574
 0.007977 0.00426 -1.00718
 0.000726 -0.00292 -0.995213
 0.022479 -0.007707 -0.995213
 0.007977 0.00426 -1.014361
 0.000726 -0.000527 -1.004787
 0.015228 -0.00292 -0.99282
 0.000726 0.001867 -0.995213
 0.02973 0.006654 -1.011967
 0.007977 -0.005314 -1.004787
 0.007977 -0.005314 -0.995213
 0.015228 -0.000527 -0.997607
 0.022479 0.001867 -1.009574
 -0.021027 -0.000527 -1.002393
 0.007977 0.001867 -0.99282
 0.007977 0.001867 -1
 0.036981 -0.00292 -1.00718
 0.007977 0.00426 -1.00718
 0.007977 -0.005314 -0.9880330000000001
 -0.013776 -0.00292 -0.99282
 0.007977 0.001867 -1.011967
 0.007977 -0.00292 -1.00718
 0.015228 -0.007707 -0.997607
 0.015228 -0.005314 -0.99282
 0.036981 0.001867 -1.009574
 0.000726 -0.00292 -1.00718
 0.000726 -0.00292 -0.997607
 0.022479 -0.000527 -1.002393
 0.015228 0.00426 -1.00718
 0.015228 -0.000527 -1.011967
 0.015228 -0.000527 -1.011967
 0.015228 0.001867 -0.990426
 0.000726 0.00426 -0.990426
 0.015228 0.009046999999999999 -1.014361
 0.000726 0.00426 -1.016754
 0.015228 -0.00292 -0.995213
 0.015228 0.001867 -0.9880330000000001
 0.022479 -0.000527 -1.011967
 0.000726 0.006654 -1.014361
 0.007977 0.006654 -0.997607
 0.022479 -0.005314 -0.995213
 0.022479 -0.000527 -1.00718
 0.007977 -0.005314 -1.009574
 0.022479 -0.005314 -0.978459
 -0.006525 -0.000527 -0.997607
 0.015228 0.00426 -1.021541
 0.007977 -0.005314 -1.014361
 0.007977 -0.007707 -0.997607
 0.015228 -0.005314 -1
 0.015228 -0.005314 -1.014361
 0.000726 0.00426 -1.009574
 0.015228 -0.00292 -0.990426
 0.022479 -0.007707 -0.997607
 0.022479 -0.005314 -1.00718
 0.022479 -0.00292 -1.002393
 0.022479 -0.00292 -0.990426
 0.007977 -0.005314 -0.995213
 0.007977 0.00426 -1.014361
 0.015228 -0.005314 -1.009574
 0.015228 -0.005314 -1.00718
 0.022479 -0.007707 -1.00718
 0.000726 0.001867 -1.014361
 -0.006525 -0.000527 -1.004787
 0.015228 -0.005314 -0.9880330000000001
 0.02973 -0.00292 -0.995213
 0.022479 0.00426 -1.014361
 0.000726 -0.005314 -1.004787
 0.015228 -0.000527 -0.997607
 0.007977 -0.000527 -0.9880330000000001
 0.022479 0.006654 -1.009574
 0.007977 0.001867 -1.009574
 0.007977 -0.010101 -0.995213
 0.015228 -0.012494 -0.985639
 0.007977 -0.000527 -1.009574
 0.000726 0.00426 -1.00718
 0.015228 -0.00292 -1
 0.022479 0.001867 -1.002393
 0.022479 -0.000527 -1.019148
 0.015228 -0.007707 -1.004787
 0.015228 -0.00292 -0.9880330000000001
 0.022479 -0.000527 -0.990426
 0.015228 0.009046999999999999 -1.021541
 0.015228 0.00426 -1.014361
 0.015228 -0.010101 -0.990426
 0.015228 -0.005314 -0.99282
 0.007977 0.006654 -1.019148
 -0.013776 -0.00292 -0.995213
 0.000726 -0.000527 -0.99282
 0.000726 0.00426 -0.99282
 0.036981 0.001867 -1.00718
 0.000726 0.006654 -1.00718
 0.007977 -0.00292 -0.995213
 0.000726 0.00426 -0.995213
 0.015228 0.00426 -1.011967
 0.007977 -0.00292 -1.014361
 0.022479 -0.010101 -1.002393
 0.015228 -0.007707 -1
 0.02973 -0.00292 -1.016754
 -0.013776 0.00426 -1.019148
 -0.006525 0.00426 -0.990426
 0.022479 -0.000527 -1.002393
 0.015228 -0.000527 -1.019148
 0.015228 -0.000527 -1.019148
 0.007977 0.001867 -1.009574
 -0.006525 -0.007707 -0.995213
 0.007977 -0.000527 -0.995213
 0.007977 0.006654 -1.009574
 0.022479 -0.010101 -1.014361
 0.015228 -0.010101 -0.995213
 0.000726 -0.007707 -0.99282
 0.036981 0.001867 -1.009574
 0.007977 -0.000527 -1.019148
 0.007977 -0.000527 -0.9880330000000001
 0.015228 -0.010101 -0.9880330000000001
 0.02973 0.009046999999999999 -1.011967
 0.015228 -0.000527 -1.004787
 0.007977 -0.005314 -0.997607
 0.007977 -0.007707 -0.995213
 0.007977 0.001867 -1.00718
 0.000726 -0.000527 -1.011967
 0.022479 -0.005314 -0.990426
 -0.006525 -0.00292 -0.990426
 0.022479 -0.00292 -1.009574
 0.000726 0.00426 -1.002393
 -0.006525 0.001867 -1
 0.015228 0.001867 -0.99282
 0.022479 -0.00292 -1.00718
 0.015228 -0.00292 -1.014361
 0.007977 -0.00292 -0.983246
 0.015228 0.006654 -0.997607
 0.007977 0.009046999999999999 -1.004787
 0.022479 0.00426 -1.014361
 0.007977 -0.014887 -0.99282
 0.022479 -0.000527 -0.99282
 0.015228 0.001867 -1.011967
 0.007977 0.009046999999999999 -1.011967
 0.015228 -0.005314 -0.9880330000000001
 0.015228 0.001867 -0.995213
 0.022479 -0.005314 -1.009574
 0.015228 0.00426 -1.00718
 0.007977 -0.00292 -0.9880330000000001
 0.007977 0.006654 -0.990426
 0.015228 0.001867 -1.00718
 -0.013776 0.001867 -1.014361
 -0.006525 -0.00292 -0.997607
 0.022479 -0.005314 -0.9880330000000001
 0.022479 -0.00292 -1.00718
 -0.013776 0.006654 -1.011967
 0.000726 -0.007707 -0.990426
 0.007977 -0.007707 -0.99282
 0.007977 -0.005314 -1.002393
 0.015228 0.001867 -1.00718
 0.022479 -0.007707 -0.99282
 0.007977 -0.000527 -1
 0.022479 0.00426 -1.016754
 0.015228 -0.00292 -1.011967
 -0.006525 -0.000527 -0.997607
 0.007977 -0.005314 -1
 0.02973 -0.000527 -1.014361
 0.007977 0.006654 -1.016754
 0.022479 -0.007707 -0.990426
 0.022479 -0.012494 -0.997607
 0.022479 -0.00292 -1.019148
 0.015228 -0.005314 -1.00718
 0.007977 -0.000527 -0.9880330000000001
 0.015228 0.006654 -0.99282
 0.015228 0.001867 -1.009574
 0.015228 0.001867 -1.016754
 0.015228 -0.005314 -1
 0.02973 -0.005314 -0.997607
 0.015228 -0.00292 -1.00718
 0.000726 0.006654 -1.014361
 0.000726 -0.000527 -0.995213
 0.022479 -0.005314 -0.990426
 0.022479 -0.005314 -0.990426
 0.022479 -0.000527 -1.004787
 0.022479 -0.00292 -1.014361
 0.007977 -0.007707 -0.990426
 0.022479 -0.00292 -1
 0.015228 -0.000527 -1.009574
 0.022479 0.00426 -1.011967
 0.022479 -0.005314 -0.997607
 0.022479 -0.000527 -1
 0.02973 0.001867 -1.00718
 -0.006525 -0.000527 -1.011967
 0.022479 -0.00292 -0.983246
 0.022479 -0.005314 -0.9880330000000001
 0.02973 0.001867 -1.004787
 0.000726 -0.000527 -1.009574
 0.015228 0.001867 -0.995213
 0.015228 -0.000527 -0.9880330000000001
 0.02973 -0.000527 -1.011967
 0.022479 -0.000527 -1.014361
 0.007977 -0.00292 -1
 0.022479 -0.005314 -0.99282
 0.022479 -0.00292 -1.002393
 0.022479 -0.000527 -1.011967
 0.051483 -0.005314 -0.990426
 0.022479 -0.007707 -0.995213
 0.02973 -0.005314 -1.016754
 0.007977 0.001867 -1.016754
 0.015228 -0.007707 -0.99282
 0.015228 -0.005314 -0.985639
 0.02973 0.00426 -1.009574
 0.000726 -0.000527 -1.021541
 0.007977 -0.000527 -1.002393
 0.022479 -0.007707 -0.983246
 0.022479 0.00426 -1.004787
 0.000726 0.006654 -1.014361
 0.015228 0.009046999999999999 -0.990426
 0.015228 -0.000527 -0.99282
 0.02973 0.00426 -1.009574
 0.007977 -0.000527 -1.00718
 0.015228 -0.00292 -0.9880330000000001
 0.015228 -0.00292 -1
 0.022479 0.006654 -1.016754
 0.015228 -0.000527 -1.026328
 0.015228 -0.000527 -0.997607
 0.022479 -0.005314 -0.9880330000000001
 0.02973 -0.000527 -1.009574
 0.007977 0.00426 -1.011967
 -0.013776 0.001867 -0.980853
 0.015228 -0.010101 -0.983246
 0.022479 -0.000527 -1.016754
 0.000726 -0.000527 -1.011967
 0.015228 -0.007707 -0.980853
 0.015228 -0.005314 -0.976066
 0.02973 0.00426 -1.011967
 -0.006525 0.001867 -1.016754
 0.022479 -0.005314 -0.990426
 0.022479 -0.005314 -0.983246
 0.007977 0.001867 -1.011967
 0.000726 0.009046999999999999 -1.023934
 -0.006525 -0.005314 -0.983246
 0.02973 -0.005314 -0.9880330000000001
 0.02973 0.001867 -1.014361
 0.007977 0.001867 -1.016754
 0.015228 -0.000527 -0.997607
 0.007977 0.001867 -0.997607
 0.015228 0.009046999999999999 -1.021541
